path,decision,rationale
".env.example","REFACTOR","Retain at root but rewrite for extracted monorepo and security workflow."
".gitignore","REFACTOR","Retain at root but rewrite for extracted monorepo and security workflow."
".gitmodules","REFACTOR","Update submodule path after Fieldlot vertical extraction."
"FURROW-LAUNCH-BG.md","REMOVE","Legacy launch/local operator artifact, not platform source."
"Open-Academy-Terminal.cmd","REMOVE","Legacy launch/local operator artifact, not platform source."
"README.md","REFACTOR","Retain at root but rewrite for extracted monorepo and security workflow."
"REGISTRATION-BG.md","REMOVE","Legacy launch/local operator artifact, not platform source."
"REMINDER-TOMORROW.md","REMOVE","Legacy launch/local operator artifact, not platform source."
"Right here/.gitignore","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/.prettierignore","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/.prettierrc","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/components.json","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/eslint.config.js","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/index.html","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/package.json","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/App.tsx","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/components/generated/GlobalNav.tsx","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/components/generated/SiteFooter.tsx","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/components/generated/SponsorTierCard.tsx","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/components/generated/SponsorshipPortal.tsx","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/hooks/use-mobile.ts","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/index.css","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/lib/utils.ts","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/main.tsx","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/settings/theme.ts","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/settings/types.d.ts","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/src/vite-env.d.ts","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/tsconfig.app.json","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/tsconfig.json","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/tsconfig.node.json","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/vite.config.ts","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"Right here/yarn.lock","REMOVE","Abandoned parallel Vite prototype; duplicates canonical Next.js app."
"academy.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"agents.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"analytics.html","REMOVE","Legacy generated static page duplicated by canonical Next.js application."
"apps/web/.env.example","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/.eslintrc.json","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/.gitignore","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/README.md","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/eslint.config.mjs","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/messages/bg.json","REFACTOR","Mixed platform and agriculture copy; split by core and vertical namespace."
"apps/web/messages/en.json","REFACTOR","Mixed platform and agriculture copy; split by core and vertical namespace."
"apps/web/middleware.ts","KEEP","Canonical Supabase session middleware."
"apps/web/next-env.d.ts","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/next.config.ts","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/package-lock.json","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/package.json","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/postcss.config.mjs","KEEP","Canonical Next.js application configuration/documentation."
"apps/web/public/lectures/README.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/crop-markets/01-bazis-lokalna-cena.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/crop-markets/02-vreme-prodazba-sklad.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/drone-pilots/01-simulator-trening.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/drone-pilots/02-bezopasnost-i-reglament.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/farm-finance/01-oboroten-kapital.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/farm-finance/02-zastrahovki-meteo.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/maps-and-fields/01-vavedenie-karti-poleta.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/maps-and-fields/02-zhiva-karta-lab.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/maps-and-fields/03-eksport-i-raboten-potok.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/precision-data/01-karti-dobiv-zonirane.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/precision-data/02-prosledimost-zapis.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/precision-data/03-karti-gps-sloevi.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/precision-data/04-meteo-operatsii.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/precision-data/05-praktika-karta-satelit-poleta.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/soil-fertility/01-probi-i-baza.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/soil-fertility/02-npk-balans.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/water-irrigation/01-voden-byudzhet.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/public/lectures/courses/water-irrigation/02-pompi-energiya.md","VERTICAL","Agriculture Academy course material; move with agriculture vertical."
"apps/web/run_migration.cjs","REMOVE","Unsafe one-off migration script with hardcoded database credential; rotate secret."
"apps/web/src/app/[locale]/academy/course/[slug]/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/academy/course/[slug]/test/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/academy/lab/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/academy/lecturer/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
"apps/web/src/app/[locale]/academy/maps/page.tsx","VERTICAL","Agriculture product route; relocate under agriculture vertical composition."
